window,experiment_week_index,model,target,wape_micro,mae,rmse,forecast_bias,n,train_seconds,peak_memory_mb
3,61,LightGBM_Poisson,margin_window_xof_7j,0.16891873303338892,12329.20143066989,29374.186135449592,-0.0023209943236078058,233,0.3624,9.076
3,61,LightGBM_Tweedie,margin_window_xof_7j,0.14230188718786993,10386.465725840593,27447.81574787974,-0.009841842648753126,233,0.354,9.076
3,61,LightGBM_L1,margin_window_xof_7j,0.20046638068742945,14631.83119591673,57905.0777194588,-0.08777095644702257,233,0.4482,9.076
3,61,LightGBM_Monotone,margin_window_xof_7j,0.14206078588647167,10368.8679943353,27229.15143408346,-0.009524290576984682,233,0.5097,9.076
3,61,CatBoost_MAE,margin_window_xof_7j,0.2585307271700717,18869.88704010306,65750.9566928438,-0.07658422434342678,233,1.0843,9.076
3,61,Hurdle_zero_positif,margin_window_xof_7j,0.14777164582830474,10785.697681018339,28496.584347542674,-0.0056774278839767656,233,0.5526,9.076
3,61,S_learner,margin_window_xof_7j,0.14230188718786993,10386.465725840593,27447.81574787974,-0.009841842648753126,233,0.3455,9.076
3,61,T_learner,margin_window_xof_7j,0.13875177824090787,10127.346991512488,28259.522907688613,-0.010588132731792405,233,0.7818,9.076
3,61,Ensemble_contraint,margin_window_xof_7j,0.14117326846149747,10304.089026903821,27683.239779206662,-0.0085966170642513,233,0.0,9.076
4,62,baseline_moyenne_produit,margin_window_xof_7j,0.13236822816266536,8468.724005778367,23392.267481622515,0.02128148922239682,299,0.0032,10.493
4,62,baseline_mediane_produit,margin_window_xof_7j,0.12796402889995645,8186.94983277592,24792.625099804678,0.012178365242643343,299,0.004,10.493
4,62,GLM_Poisson,margin_window_xof_7j,0.3358291112051564,21485.851215046234,51486.64235029201,0.04215117404189222,299,0.2605,10.493
4,62,GLM_Tweedie,margin_window_xof_7j,0.3508187650731613,22444.86716103505,55885.092755652346,0.04172128076149671,299,0.217,10.493
4,62,LightGBM_Poisson,margin_window_xof_7j,0.17548275080663853,11227.127574223763,26600.591018907064,0.03228288934190105,299,0.3395,10.493
4,62,LightGBM_Tweedie,margin_window_xof_7j,0.1581639318018878,10119.095078109784,25882.309366399302,0.021086011074546187,299,0.3126,10.493
4,62,LightGBM_L1,margin_window_xof_7j,0.20752985917968048,13277.454301125661,45435.32563864687,-0.040545489199375166,299,0.3642,10.493
4,62,LightGBM_Monotone,margin_window_xof_7j,0.1565892256665106,10018.347702128234,25980.732835686358,0.020504291386819664,299,0.4015,10.493
4,62,CatBoost_MAE,margin_window_xof_7j,0.2505852180651663,16032.072659564637,56555.99852987215,-0.03654020671096125,299,1.1552,10.493
4,62,Hurdle_zero_positif,margin_window_xof_7j,0.154028706610863,9854.529469499417,25578.638992369004,0.026843029136813617,299,0.5808,10.493
4,62,S_learner,margin_window_xof_7j,0.1581639318018878,10119.095078109784,25882.309366399302,0.021086011074546187,299,0.3891,10.493
4,62,T_learner,margin_window_xof_7j,0.14165023964711432,9062.57341036256,24213.091594615118,0.013599223515052699,299,0.8491,10.493
4,62,Ensemble_contraint,margin_window_xof_7j,0.14916849690894585,9543.580421173698,24996.468402712027,0.02031551467956199,299,0.0,10.493
5,63,baseline_moyenne_produit,margin_window_xof_7j,0.1454849264984216,9444.754856391477,27872.293856244305,-0.0016816170399743618,300,0.0029,10.787
5,63,baseline_mediane_produit,margin_window_xof_7j,0.13922937661056148,9038.65,27620.930933472657,-0.00372396652060289,300,0.0033,10.787
5,63,GLM_Poisson,margin_window_xof_7j,0.3431687876628097,22278.21913822434,62497.61327469885,0.01621036071178108,300,0.3029,10.787
5,63,GLM_Tweedie,margin_window_xof_7j,0.3595376166118948,23340.86927271776,69281.96175801515,0.017299230148580383,300,0.2858,10.787
