window,experiment_week_index,model,target,wape_micro,mae,rmse,forecast_bias,n,margin_error,mean_predicted_margin_xof,train_seconds,peak_memory_mb
4,62,GLM_Poisson,units_sold_window_7j,0.3551010645963687,1.4465320959143044,2.200133680117602,0.09985276142813651,299,0.31807403133374407,72037.02874082669,0.0617,10.545
4,62,GLM_Tweedie,units_sold_window_7j,0.36125464048547645,1.4715991709408371,2.270832431668921,0.09637481465449436,299,0.33502768686028656,73137.95486515795,0.053,10.545
4,62,LightGBM_Poisson,units_sold_window_7j,0.206351655973816,0.8405896888833039,1.373641017082822,0.06320685665420638,299,0.19996114385434288,68939.09067156845,0.3561,10.545
4,62,LightGBM_Tweedie,units_sold_window_7j,0.18669636529742112,0.7605223174991937,1.3085012792270794,0.0587531167237946,299,0.18440998336971756,68325.55373460938,0.3581,10.545
4,62,LightGBM_L1,units_sold_window_7j,0.2196747753988966,0.8948624629961741,1.528804994579134,0.0712084436134386,299,0.21254420553582873,69689.62207930961,0.3846,10.545
4,62,LightGBM_Monotone,units_sold_window_7j,0.18575103860077025,0.7566714549021343,1.317819849164576,0.05780930398965433,299,0.18330267815770257,68653.88945595351,0.4294,10.545
4,62,CatBoost_Poisson,units_sold_window_7j,0.19364502614229345,0.788828233582988,1.336788972254828,0.06289881827780883,299,0.18632632934660118,68963.69155156166,1.6112,10.545
4,62,Hurdle_zero_positif,units_sold_window_7j,0.18025243754446998,0.7342724713349981,1.2546651260230754,0.0617993268240483,299,0.1737274408393732,68997.33332331749,0.5979,10.545
4,62,S_learner,units_sold_window_7j,0.18669636529742112,0.7605223174991937,1.3085012792270794,0.0587531167237946,299,0.18440998336971756,68325.55373460938,0.3635,10.545
4,62,T_learner,units_sold_window_7j,0.1623066831235459,0.6611690302490933,1.1240749983967218,0.03341986820518624,299,0.15870616772527119,67507.56662320049,0.8004,10.545
4,62,Ensemble_contraint,units_sold_window_7j,0.17134548230517455,0.6979892891227512,1.2021299292136263,0.05100949967296298,299,0.16874725199395477,68386.26313415715,0.0,10.545
5,63,baseline_moyenne_produit,units_sold_window_7j,0.13251771460279907,0.5459729841635321,0.9758090108085536,-0.003690086640847911,300,0.14548492649842157,64809.960884771695,0.0043,10.819
5,63,baseline_mediane_produit,units_sold_window_7j,0.12378640776699029,0.51,1.0066445913694333,-0.008090614886731391,300,0.13922937661056148,64677.37333333334,0.0046,10.819
5,63,GLM_Poisson,units_sold_window_7j,0.3404448072493804,1.4026326058674472,2.0622763209396062,0.08343842606527507,300,0.32920763383289453,71241.33061863664,0.0646,10.819
5,63,GLM_Tweedie,units_sold_window_7j,0.3451525961999586,1.4220286963438293,2.124839080498832,0.07661321953198431,300,0.33832826760671414,72009.95894792063,0.0473,10.819
5,63,LightGBM_Poisson,units_sold_window_7j,0.18886852675737908,0.7781383302404019,1.3108832683619496,0.045540794922497456,300,0.19653095312688632,68760.40502561693,0.3673,10.819
5,63,LightGBM_Tweedie,units_sold_window_7j,0.17115308368719445,0.7051507047912411,1.2596174475354267,0.04239612204998718,300,0.1832579556502255,68290.14878684092,0.3753,10.819
5,63,LightGBM_L1,units_sold_window_7j,0.18611450592216572,0.7667917643993227,1.3650012531580134,0.039585985908351426,300,0.1908359325717192,68236.37118484308,0.404,10.819
5,63,LightGBM_Monotone,units_sold_window_7j,0.1729255060080716,0.7124530847532551,1.2928693070000077,0.0445372344291736,300,0.18607573591032936,68392.27996791317,0.4837,10.819
5,63,CatBoost_Poisson,units_sold_window_7j,0.16946792955754014,0.6982078697770654,1.2326755260704727,0.03924206330048477,300,0.18847363388488955,68414.07965352785,1.6575,10.819
5,63,Hurdle_zero_positif,units_sold_window_7j,0.15715888928057697,0.6474946238359771,1.17195583066646,0.04096438591123532,300,0.17354036351173116,68449.24466563728,0.5897,10.819
5,63,S_learner,units_sold_window_7j,0.17115308368719445,0.7051507047912411,1.2596174475354267,0.04239612204998718,300,0.1832579556502255,68290.14878684092,0.3963,10.819
5,63,T_learner,units_sold_window_7j,0.1511557392746279,0.622761645811467,1.0750664252829372,0.020378102445247955,300,0.1654722342405131,67642.84577539725,0.8058,10.819
5,63,Ensemble_contraint,units_sold_window_7j,0.15718865541976013,0.6476172603294117,1.1529249613501151,0.035293240928552294,300,0.1717395191874873,68161.45680298256,0.0,10.819
