window,experiment_week_index,model,target,wape_micro,mae,rmse,forecast_bias,n,train_seconds,peak_memory_mb
4,62,LightGBM_Poisson,revenue_window_xof_7j,0.16073369360473955,52058.73832553086,124096.60394320534,0.048488667445859224,299,0.3942,10.505
4,62,LightGBM_Tweedie,revenue_window_xof_7j,0.1545491479841144,50055.675775881726,130893.35209764421,0.04353364348345564,299,0.3007,10.505
4,62,LightGBM_L1,revenue_window_xof_7j,0.16622698233645722,53837.91526234858,157098.5095024512,0.01442112423070862,299,0.388,10.505
4,62,LightGBM_Monotone,revenue_window_xof_7j,0.15516814709652202,50256.15840086144,131896.82662151486,0.04269034912786922,299,0.4254,10.505
4,62,CatBoost_MAE,revenue_window_xof_7j,0.19520009026315976,63221.78127206426,194173.08476453397,0.010379996635437963,299,1.0852,10.505
4,62,Hurdle_zero_positif,revenue_window_xof_7j,0.15374590941205932,49795.521319788546,129075.74820413819,0.04691730917678156,299,0.5675,10.505
4,62,S_learner,revenue_window_xof_7j,0.1545491479841144,50055.675775881726,130893.35209764421,0.04353364348345564,299,0.3789,10.505
4,62,T_learner,revenue_window_xof_7j,0.13583644575033596,43994.96972785544,115163.84527318897,0.03724751915900241,299,0.9298,10.505
4,62,Ensemble_contraint,revenue_window_xof_7j,0.14751985673634957,47779.01538517853,123783.88354446692,0.04228505915455104,299,0.0,10.505
5,63,baseline_moyenne_produit,revenue_window_xof_7j,0.144402995992824,48194.407976030896,138830.0848378253,-0.004362935801191171,300,0.0041,9.405
5,63,baseline_mediane_produit,revenue_window_xof_7j,0.1387124144226832,46295.18,139226.37410672233,-0.007795800139803513,300,0.0044,9.405
5,63,GLM_Poisson,revenue_window_xof_7j,0.297455095699542,99275.44880997788,268495.65766449244,0.021596974782890268,300,0.2251,9.405
5,63,GLM_Tweedie,revenue_window_xof_7j,0.30109164914848235,100489.14620828937,289098.193607061,0.01887375216421046,300,0.1898,9.405
5,63,LightGBM_Poisson,revenue_window_xof_7j,0.16407603504909668,54760.2722358937,152071.73057263525,0.008078046515179885,300,0.3416,9.405
5,63,LightGBM_Tweedie,revenue_window_xof_7j,0.152754717394177,50981.78967646984,152816.43053482508,0.003361043057280528,300,0.3467,9.405
5,63,LightGBM_L1,revenue_window_xof_7j,0.1594890173572278,53229.35800163374,163174.92214610573,-0.03341942034115404,300,0.364,9.405
5,63,LightGBM_Monotone,revenue_window_xof_7j,0.1524866878157136,50892.33497530317,152405.4866407262,0.00571979715113144,300,0.4344,9.405
5,63,CatBoost_MAE,revenue_window_xof_7j,0.19424235865019174,64828.26353186648,193091.87742699296,-0.015902214686892298,300,1.1123,9.405
5,63,Hurdle_zero_positif,revenue_window_xof_7j,0.15188524594824096,50691.60413495216,149484.94839888485,0.005159418456684853,300,0.5704,9.405
