window,model,target,segment_type,segment_value,wape_micro,mae,rmse,forecast_bias,n
5,LightGBM_Poisson,revenue_window_xof_7j,categorie,Telephonie & Accessoires,0.1706156753236186,109049.79537974048,225772.84230894587,-0.008983690622106542,41
5,LightGBM_Poisson,revenue_window_xof_7j,classe_abc,A,0.1365282761630197,297600.72975818836,423649.65066766256,0.0017210289908829014,36
5,LightGBM_Poisson,revenue_window_xof_7j,classe_abc,B,0.12777735992426262,38848.71295815723,58756.8989683668,0.00010425360818182755,50
5,LightGBM_Poisson,revenue_window_xof_7j,classe_abc,C,0.5846968569709806,17626.260521333967,37682.87239520064,0.10419325636121847,214
5,LightGBM_Poisson,revenue_window_xof_7j,treatment_group,controle_0pct,0.13845178098906533,42868.69742626707,134196.05399223944,0.0035657129702307663,76
5,LightGBM_Poisson,revenue_window_xof_7j,treatment_group,traitement_10pct,0.18495251026843992,70634.78324208304,203672.9020786596,0.00011943335148940856,77
5,LightGBM_Poisson,revenue_window_xof_7j,treatment_group,traitement_15pct,0.17796481446262433,55726.73669697258,120595.55878803514,0.0009788389810719176,73
5,LightGBM_Poisson,revenue_window_xof_7j,treatment_group,traitement_5pct,0.15057653910630606,49501.76456557324,133217.3092774947,0.02873381331207895,74
5,LightGBM_Tweedie,revenue_window_xof_7j,categorie,Alimentation & Epicerie,0.1658240122945595,5747.76289495187,11171.938788249394,0.043391442135388744,40
5,LightGBM_Tweedie,revenue_window_xof_7j,categorie,Beaute & Soins,0.1462218717834783,8060.728134462644,14821.851952884273,0.0702561315952378,39
5,LightGBM_Tweedie,revenue_window_xof_7j,categorie,Bebe & Enfant,0.16036112468134442,17162.489007896205,27279.408338747344,-0.024145742609641713,42
5,LightGBM_Tweedie,revenue_window_xof_7j,categorie,Electronique & High-Tech,0.14891496533226198,191203.6279972474,343008.1538010999,0.0024618133882125448,42
5,LightGBM_Tweedie,revenue_window_xof_7j,categorie,Maison & Cuisine,0.121366806309091,16869.27683968928,33435.15206274231,-0.005629396983440269,32
5,LightGBM_Tweedie,revenue_window_xof_7j,categorie,Mode & Vetements,0.19752734670928793,20538.469407999117,38423.87046283588,0.07214543294669513,34
5,LightGBM_Tweedie,revenue_window_xof_7j,categorie,Sport & Loisirs,0.12850414120632347,17039.16509169328,34316.528093087814,0.023778699459005063,30
5,LightGBM_Tweedie,revenue_window_xof_7j,categorie,Telephonie & Accessoires,0.16216471399931054,103648.32449243849,215171.57184865707,-0.008529153521352245,41
5,LightGBM_Tweedie,revenue_window_xof_7j,classe_abc,A,0.13519889356014367,294702.9766782963,425105.61470512685,0.01318703524464887,36
5,LightGBM_Tweedie,revenue_window_xof_7j,classe_abc,B,0.12764342545770863,38807.99227297917,61748.99912567865,-0.00817476045411395,50
5,LightGBM_Tweedie,revenue_window_xof_7j,classe_abc,C,0.4254732623299283,12826.30901342676,38028.47409782389,-0.08897775076330482,214
5,LightGBM_Tweedie,revenue_window_xof_7j,treatment_group,controle_0pct,0.12401597442334514,38398.951935460755,137390.32080738226,-0.006122689472330403,76
5,LightGBM_Tweedie,revenue_window_xof_7j,treatment_group,traitement_10pct,0.179293890823269,68473.7130442308,206493.84337802167,-0.0023160218353347355,77
5,LightGBM_Tweedie,revenue_window_xof_7j,treatment_group,traitement_15pct,0.16388021055243512,51316.37605375057,117238.77407944003,-0.002311780657304355,73
5,LightGBM_Tweedie,revenue_window_xof_7j,treatment_group,traitement_5pct,0.13801926601985479,45373.583777248256,131757.22177969987,0.02472742666732138,74
5,LightGBM_L1,revenue_window_xof_7j,categorie,Alimentation & Epicerie,0.12754758195271035,4421.031964818004,8234.620062340693,0.014959661941466532,40
5,LightGBM_L1,revenue_window_xof_7j,categorie,Beaute & Soins,0.1484429421787414,8183.1683987360375,16817.848411918323,0.04329100840975744,39
5,LightGBM_L1,revenue_window_xof_7j,categorie,Bebe & Enfant,0.1227256828606108,13134.593482474009,23072.90402392173,-0.03958372952240497,42
5,LightGBM_L1,revenue_window_xof_7j,categorie,Electronique & High-Tech,0.16181554176618182,207767.69200463346,354452.7959932209,-0.04359580074641884,42
5,LightGBM_L1,revenue_window_xof_7j,categorie,Maison & Cuisine,0.14351284213372764,19947.44640341692,44433.67121067614,0.016171301326427506,32
5,LightGBM_L1,revenue_window_xof_7j,categorie,Mode & Vetements,0.1844963116166501,19183.53035746551,37958.61158898203,0.057687746417280014,34
5,LightGBM_L1,revenue_window_xof_7j,categorie,Sport & Loisirs,0.11613129887179856,15398.572802508072,36232.6489810575,0.043706736972947885,30
5,LightGBM_L1,revenue_window_xof_7j,categorie,Telephonie & Accessoires,0.16952312896046753,108351.48933536024,248086.18322088066,-0.05268891375426686,41
5,LightGBM_L1,revenue_window_xof_7j,classe_abc,A,0.14828367844518903,323224.8451143175,454312.08225125045,-0.02520091915464542,36
5,LightGBM_L1,revenue_window_xof_7j,classe_abc,B,0.1188489181964571,36134.159534508915,62326.7702254863,-0.013090686210689883,50
5,LightGBM_L1,revenue_window_xof_7j,classe_abc,C,0.39155340673254246,11803.761680603959,41197.291446358126,-0.18129063708704873,214
5,LightGBM_L1,revenue_window_xof_7j,treatment_group,controle_0pct,0.13618196421865833,42165.896150266664,156728.8757424524,-0.027757028060608813,76
5,LightGBM_L1,revenue_window_xof_7j,treatment_group,traitement_10pct,0.18215927563947812,69568.02549829984,212151.8113764394,-0.034171822627896004,77
5,LightGBM_L1,revenue_window_xof_7j,treatment_group,traitement_15pct,0.15995920423163698,50088.57780899038,104620.82885463895,-0.042286940039125996,73
5,LightGBM_L1,revenue_window_xof_7j,treatment_group,traitement_5pct,0.15418829764161343,50689.12364384415,158382.37061679465,-0.02965494301553755,74
5,LightGBM_Monotone,revenue_window_xof_7j,categorie,Alimentation & Epicerie,0.16350016244478838,5667.214018132827,11115.905932113119,0.04522345678852077,40
5,LightGBM_Monotone,revenue_window_xof_7j,categorie,Beaute & Soins,0.14827604827151408,8173.968089664289,15026.953156694126,0.07580098339083036,39
5,LightGBM_Monotone,revenue_window_xof_7j,categorie,Bebe & Enfant,0.1590486065289767,17022.0180651572,26484.777540528852,-0.02013517434459079,42
5,LightGBM_Monotone,revenue_window_xof_7j,categorie,Electronique & High-Tech,0.14838105156278117,190518.09414553115,341645.81595737196,0.005403862516829106,42
5,LightGBM_Monotone,revenue_window_xof_7j,categorie,Maison & Cuisine,0.12751153282443015,17723.357917075846,34067.78415460342,-0.005368369754027197,32
5,LightGBM_Monotone,revenue_window_xof_7j,categorie,Mode & Vetements,0.190793677809551,19838.3169733877,37345.40402200897,0.07167041338226213,34
5,LightGBM_Monotone,revenue_window_xof_7j,categorie,Sport & Loisirs,0.1246235819138631,16524.61754628637,31792.182454730326,0.025901689527025273,30
5,LightGBM_Monotone,revenue_window_xof_7j,categorie,Telephonie & Accessoires,0.16287343990053402,104101.30991925903,215713.2633323733,-0.00711347865793632,41
5,LightGBM_Monotone,revenue_window_xof_7j,classe_abc,A,0.13416886301959086,292457.7433159727,423936.55402782746,0.015402251241488309,36
5,LightGBM_Monotone,revenue_window_xof_7j,classe_abc,B,0.1288029781582887,39160.536182568416,61875.28984528361,-0.006859901074701506,50
5,LightGBM_Monotone,revenue_window_xof_7j,classe_abc,C,0.43111013139915927,12996.237963025758,37863.679888865874,-0.08241318584350332,214
5,LightGBM_Monotone,revenue_window_xof_7j,treatment_group,controle_0pct,0.11884704892968438,36798.502295711005,133388.9639182249,-0.005640186346226341,76
5,LightGBM_Monotone,revenue_window_xof_7j,treatment_group,traitement_10pct,0.1788750623230877,68313.75922536684,205540.863359178,0.0025137502018079834,77
5,LightGBM_Monotone,revenue_window_xof_7j,treatment_group,traitement_15pct,0.1650839484423213,51693.30665457979,116153.7157093843,-0.0003341219518015841,73
5,LightGBM_Monotone,revenue_window_xof_7j,treatment_group,traitement_5pct,0.14129123029510648,46449.23610782896,136464.7899933049,0.026272199795355788,74
5,CatBoost_MAE,revenue_window_xof_7j,categorie,Alimentation & Epicerie,0.1780089162289303,6170.113902766842,12404.545611280979,0.03672085128358256,40
5,CatBoost_MAE,revenue_window_xof_7j,categorie,Beaute & Soins,0.20167557398915276,11117.707313277258,23102.418997983143,0.0786784616197348,39
5,CatBoost_MAE,revenue_window_xof_7j,categorie,Bebe & Enfant,0.1983758522512695,21230.97721133987,37695.54930593057,-0.06272866015607709,42
5,CatBoost_MAE,revenue_window_xof_7j,categorie,Electronique & High-Tech,0.1899066687314405,243836.09774414127,416584.70546501863,-0.023803641220240774,42
5,CatBoost_MAE,revenue_window_xof_7j,categorie,Maison & Cuisine,0.26551532517778753,36905.07859453096,78704.34193269638,0.1770047846732243,32
5,CatBoost_MAE,revenue_window_xof_7j,categorie,Mode & Vetements,0.23457086133629004,24390.174524309863,51676.56683279175,0.03759530647309956,34
5,CatBoost_MAE,revenue_window_xof_7j,categorie,Sport & Loisirs,0.1805547437831356,23940.878936108864,45061.225000132414,0.0672763027852045,30
5,CatBoost_MAE,revenue_window_xof_7j,categorie,Telephonie & Accessoires,0.18724474249947534,119678.34032113315,290498.4034831376,-0.05473907210384305,41
5,CatBoost_MAE,revenue_window_xof_7j,classe_abc,A,0.1728359249481283,376743.1834529127,537208.7852552941,-0.010117253675379089,36
5,CatBoost_MAE,revenue_window_xof_7j,classe_abc,B,0.19290582112417837,58650.0055819969,87990.63761878206,0.008837111701145144,50
5,CatBoost_MAE,revenue_window_xof_7j,classe_abc,C,0.4577762067688139,13800.112972688052,43710.29737417991,-0.1445653708717355,214
5,CatBoost_MAE,revenue_window_xof_7j,treatment_group,controle_0pct,0.1797160987672442,55645.33013331612,203473.57963608764,-0.005958643618128587,76
5,CatBoost_MAE,revenue_window_xof_7j,treatment_group,traitement_10pct,0.23754105277166665,90718.75125820324,255327.35958675723,-0.020220309987982934,77
5,CatBoost_MAE,revenue_window_xof_7j,treatment_group,traitement_15pct,0.1631875253902823,51099.473157738525,109635.02057388122,-0.04694234350866935,73
5,CatBoost_MAE,revenue_window_xof_7j,treatment_group,traitement_5pct,0.18513424684083585,60862.54840582915,170118.84966192394,0.008865358963247477,74
5,Hurdle_zero_positif,revenue_window_xof_7j,categorie,Alimentation & Epicerie,0.14779851782935985,5122.966360260651,9728.18951044109,0.02346110970751938,40
